,M/z,Intensity,Relative,Resolution,Frequency,S/N
9409,596.04707,0.1252,0.6677632,671928,541959.600241,22.98
9410,596.05514,0.053,0.2827637,791858,541952.269553,9.02
9411,596.06231,0.0617,0.3289244,798097,541945.750624,10.69
9412,596.07032,0.0357,0.1901518,667730,541938.463865,5.66
9413,596.08349,0.0791,0.4215917,670210,541926.490353,14.05
9414,596.09163,0.0353,0.1881055,989333,541919.086825,5.59
9415,596.11998,0.0435,0.231748,740612,541893.318603,7.17
9416,597.01338,0.0343,0.1831196,568898,541082.387542,5.41
9417,597.03107,0.1765,0.9412229,711145,541066.35462,32.9
9418,597.04634,0.0842,0.4491972,798084,541052.521938,15.05
9419,597.05041,0.048,0.256158,683405,541048.828418,8.05
9420,597.06743,0.1268,0.6760613,747173,541033.40351,23.28
9421,597.08264,0.0487,0.2598279,742546,541019.622232,8.19
9422,597.0885,0.0342,0.182172,759170,541014.312085,5.37
9423,597.10382,0.0705,0.3761325,648347,541000.434803,12.41
9424,597.1403,0.052,0.2774594,774301,540967.383575,8.83
9425,597.17662,0.0429,0.2286437,879952,540934.484276,7.06
9426,597.19775,0.0359,0.1911981,760301,540915.346835,5.7
9427,598.0263,0.1023,0.5456166,702037,540165.911755,18.55
9428,598.03444,0.0636,0.339219,908083,540158.551934,11.07
9429,598.04155,0.0696,0.3712716,842037,540152.133161,12.23
9430,598.06268,0.0927,0.4943798,620524,540133.046792,16.69
9431,598.07802,0.0625,0.333446,769143,540119.193695,10.86
9432,598.09905,0.0588,0.313676,767430,540100.200365,10.14
9433,598.13538,0.0451,0.2405609,489468,540067.400703,7.49
9434,599.01034,0.0747,0.3983088,666410,539278.526965,13.21
9435,599.02551,0.068,0.3624701,734938,539264.868128,11.91
9436,599.02962,0.0336,0.179419,365800,539261.166316,5.27
9437,599.04669,0.1042,0.5559233,725005,539245.802602,18.93
9438,599.06201,0.0982,0.5238351,701665,539232.008957,17.76
9439,599.06793,0.0376,0.2006306,688641,539226.679772,6.04
9440,599.08318,0.0881,0.469763,733663,539212.951014,15.8
9441,599.09832,0.0442,0.2355582,879912,539199.330358,7.31
9442,599.1195,0.0713,0.3803455,654951,539180.265694,12.56
9443,599.15595,0.0408,0.2176984,762042,539147.466193,6.66
9444,599.21344,0.0352,0.1879252,750234,539095.738038,5.58
9445,600.0208,0.047,0.2506113,794097,538370.344937,7.72
9446,600.04195,0.0655,0.3492771,578115,538351.367604,11.24
9447,600.05719,0.0994,0.5299255,738317,538337.692207,17.68
9448,600.06532,0.0351,0.1869445,747224,538330.397383,5.45
9449,600.07837,0.0555,0.2960481,635971,538318.693696,9.34
9450,600.08655,0.0334,0.1781502,832769,538311.352097,5.14
9451,600.09378,0.0478,0.2551643,691409,538304.87073,7.89
9452,600.1148,0.0495,0.2638743,721095,538286.015068,8.2
9453,600.15101,0.0325,0.1733314,675731,538253.532634,4.97
9454,601.00489,0.035,0.18642,731731,537488.796395,5.43
9455,601.02596,0.0633,0.3373265,732678,537469.954478,10.82
9456,601.04126,0.1537,0.8194789,721244,537456.275423,28.01
9457,601.05245,0.0487,0.2594583,714475,537446.267438,8.04
9458,601.06065,0.0408,0.2173387,664693,537438.936034,6.54
9459,601.06248,0.0732,0.3905851,653238,537437.30111,12.72
9460,601.07767,0.0953,0.5082425,779027,537423.719933,16.91
9461,601.08345,0.036,0.1917917,479344,537418.548987,5.63
9462,601.09875,0.0554,0.2954679,727737,537404.868824,9.32
9463,601.11401,0.0433,0.230744,643365,537391.226533,7.01
